"Marca temporal","Indique la Comunidad Autónoma en la que reside","Marque la opción que mejor describa su situación","Escriba su Código Postal","Indique su distrito","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su nivel máximo de estudios","En una escala del 1 al 5 valore la rapidez con la que el gobierno central está tomando medidas contra la pandemia","¿Cuál es la información respecto a la crisis del COVID-19 que más le importa conocer?","¿Qué medios utiliza para informarse sobre el COVID-19?","¿Cree que algún grupo de edad está menos informado respecto al COVID-19?","Según este gráfico:","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Central]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Autonómico]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Local]","Indique los métodos de propagación del COVID-19 según las fuentes oficiales","Indique su año de nacimiento (4 cifras)","Indique su sexo"
"2020/04/28 11:35:30 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","Extramurs","Arrancapins","","","","","","","","","","","","","","","","","","","Universitario","3","Recuperados","TV;Radio;Periódicos digitales;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","3","Propagación por gotas al toser y estornudar","1965","Femenino"
"2020/04/28 11:36:21 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","TV;Fuentes oficiales del Gobierno;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","4","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 11:37:18 a. m. EET","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/04/28 11:37:59 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46008","Extramurs","La Petxina","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Radio;Twitter","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1980","Masculino"
"2020/04/28 11:38:12 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Fallecidos","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","1","Propagación por gotas al toser y estornudar","1969","Femenino"
"2020/04/28 11:40:45 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","2005","Femenino"
"2020/04/28 11:41:38 a. m. EET","Comunidad Valenciana","Me desplazo ahora de manera habitual a Valencia para el cuidado de familiares o enfermos u otra situación","46015","Rascanya","","","","","","","","","","","","","","","Torrefiel","","","","","Universitario","4","Infectados","Fuentes oficiales del Gobierno;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar","1978","Femenino"
"2020/04/28 11:42:53 a. m. EET","Comunidad Valenciana","Trabajo en Valencia y me desplazo también ahora de manera habitual","46015","Campanar","","","","Campanar","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","TV;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España hay aproximadamente 80.000 casos activos","2","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1967","Femenino"
"2020/04/28 11:42:57 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","Fuentes oficiales del Gobierno;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","5","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 11:45:49 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Instagram;Facebook","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","5","No lo sé","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","1982","Masculino"
"2020/04/28 11:50:55 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1959","Femenino"
"2020/04/28 11:51:58 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","2","2","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 11:52:35 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","2","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 11:54:18 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Oposiciones. ","3","Infectados","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","2","2","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 12:02:29 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Fallecidos","TV;Twitter;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 12:09:05 p. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","Periódicos digitales","","En España se han dado aproximadamente 20.000 muertes","3","No lo sé","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 12:12:35 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46010","El Pla del Real","","","","","","Jaume Roig","","","","","","","","","","","","","","Universitario","1","Fallecidos","TV;Radio;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","3","2","Propagación por gotas al toser y estornudar","1981","Masculino"
"2020/04/28 12:21:46 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Los avances para contrarrestar la pandemia","TV;Otras redes sociales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación por gotas al toser y estornudar;Por entrar en contacto con esas horas a través de objetos y hacerlos llegar a nuestras mucosas con las manos","1977","Femenino"
"2020/04/28 12:28:34 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Recomendaciones reales ","TV;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","4","4","Propagación por gotas al toser y estornudar","1971","Masculino"
"2020/04/28 12:30:34 p. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Infectados","Fuentes oficiales del Gobierno;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 12:39:47 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","TV;Fuentes oficiales del Gobierno;Twitter","Personas de la tercera edad","En España hay aproximadamente 80.000 casos activos","2","2","1","Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 12:50:57 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Infectados","TV;Periódicos digitales;Instagram","Personas adultas","En España hay aproximadamente 80.000 casos activos","2","2","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2005","Femenino"
"2020/04/28 12:53:21 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2005","Femenino"
"2020/04/28 1:18:10 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Ingresados en la UCI","TV;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1974","Masculino"
"2020/04/28 1:28:26 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Eliminación estado alarma","TV;Radio;Amigos","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1975","Femenino"
"2020/04/28 1:32:32 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Ingresados en la UCI","TV;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","3","1","Propagación por gotas al toser y estornudar","1983","Masculino"
"2020/04/28 1:39:39 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","Extramurs","Arrancapins","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","Periódicos digitales;Amigos;Blogs de periodismo;Otras redes sociales;Linkedin","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1970","Masculino"
"2020/04/28 1:59:35 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","Periódicos digitales;Otras redes sociales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1976","Femenino"
"2020/04/28 2:03:50 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Primaria","1","Infectados","TV;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1974","Femenino"
"2020/04/28 2:22:42 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","3","Fallecidos","TV;Fuentes oficiales del Gobierno;Amigos;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","4","5","Propagación por gotas al toser y estornudar","2004","Femenino"
"2020/04/28 2:38:26 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Ingresados en la UCI","TV;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","No lo sé","Propagación por gotas al toser y estornudar","1973","Masculino"
"2020/04/28 2:42:47 p. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Hospitalizados (NO en UCI)","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","2","1","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 3:30:58 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Hospitalizados (NO en UCI)","TV;Fuentes oficiales del Gobierno","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","2","1","Propagación por gotas al toser y estornudar","1974","Femenino"
"2020/04/28 3:42:46 p. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Recuperados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","2","2","2","Propagación por gotas al toser y estornudar","2001","Malasia"
"2020/04/28 4:00:39 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Radio;Fuentes oficiales del Gobierno;Amigos;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","2001","Femenino"
